"2026-06-09 at 10:44"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	H₂O_(mmol_mol⁻¹)	H₂O_(°C)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	H₂O_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2026-06-09	10:44:02	4.30861e2	1.48904e1	1.24607e1	5.14904e1	9.74407e1	9.1651802e-2	8.3563032e-2	1.2061326e1	7.5651369e-1	
2026-06-09	10:44:03	4.30861e2	1.48904e1	1.24607e1	5.14904e1	9.74407e1	9.1651802e-2	8.3563032e-2	1.2061326e1	7.5651369e-1	
2026-06-09	10:44:03	4.31190e2	1.48875e1	1.24562e1	5.14904e1	9.74310e1	9.1692266e-2	8.3543834e-2	1.2069718e1	7.6633501e-1	
2026-06-09	10:44:03	4.31257e2	1.48815e1	1.24517e1	5.14937e1	9.74415e1	9.1711997e-2	8.3527860e-2	1.2017685e1	7.5894174e-1	
2026-06-09	10:44:04	4.31354e2	1.48774e1	1.24460e1	5.15004e1	9.74320e1	9.1716051e-2	8.3502883e-2	1.2047898e1	7.5833683e-1	
2026-06-09	10:44:04	4.31784e2	1.48763e1	1.24448e1	5.14971e1	9.74315e1	9.1781673e-2	8.3498773e-2	1.2050416e1	7.5987291e-1	
2026-06-09	10:44:05	4.31628e2	1.48798e1	1.24502e1	5.14971e1	9.74432e1	9.1769456e-2	8.3521728e-2	1.2036988e1	7.4732475e-1	
2026-06-09	10:44:05	4.31628e2	1.48798e1	1.24502e1	5.14971e1	9.74432e1	9.1769456e-2	8.3521728e-2	1.2036988e1	7.4732475e-1	
2026-06-09	10:44:06	4.30622e2	1.48690e1	1.24396e1	5.14904e1	9.74464e1	9.1620740e-2	8.3482923e-2	1.2001739e1	7.5311155e-1	
2026-06-09	10:44:06	4.30622e2	1.48690e1	1.24396e1	5.14904e1	9.74464e1	9.1620740e-2	8.3482923e-2	1.2001739e1	7.5311155e-1	
2026-06-09	10:44:07	4.30740e2	1.49017e1	1.24709e1	5.14904e1	9.74324e1	9.1625452e-2	8.3600940e-2	1.2067201e1	7.5300841e-1	
2026-06-09	10:44:07	4.30944e2	1.48966e1	1.24670e1	5.14971e1	9.74410e1	9.1663360e-2	8.3586215e-2	1.2073075e1	7.6338033e-1	
2026-06-09	10:44:08	4.30801e2	1.48854e1	1.24561e1	5.15037e1	9.74440e1	9.1643037e-2	8.3543539e-2	1.2005096e1	7.5379557e-1	
2026-06-09	10:44:08	4.31208e2	1.48639e1	1.24322e1	5.14971e1	9.74322e1	9.1694650e-2	8.3450136e-2	1.2045381e1	7.5790300e-1	
2026-06-09	10:44:09	4.31621e2	1.48471e1	1.24147e1	5.14971e1	9.74302e1	9.1755332e-2	8.3382492e-2	1.2057130e1	7.6840715e-1	
2026-06-09	10:44:09	4.31538e2	1.48601e1	1.24285e1	5.15037e1	9.74332e1	9.1744480e-2	8.3434944e-2	1.2030273e1	7.5673871e-1	
2026-06-09	10:44:10	4.31274e2	1.48577e1	1.24266e1	5.14971e1	9.74367e1	9.1709079e-2	8.3429574e-2	1.2038667e1	7.5731253e-1	
2026-06-09	10:44:10	4.30982e2	1.48561e1	1.24240e1	5.14904e1	9.74304e1	9.1659784e-2	8.3419437e-2	1.2068040e1	7.6165814e-1	
2026-06-09	10:44:11	4.30761e2	1.48552e1	1.24246e1	5.14904e1	9.74402e1	9.1635589e-2	8.3423614e-2	1.2020202e1	7.5915579e-1	
2026-06-09	10:44:11	4.30963e2	1.48598e1	1.24289e1	5.14971e1	9.74377e1	9.1662645e-2	8.3438692e-2	1.2061326e1	7.4658055e-1	
2026-06-09	10:44:12	4.31378e2	1.48551e1	1.24241e1	5.14971e1	9.74380e1	9.1725940e-2	8.3420219e-2	1.2063844e1	7.5874242e-1	
2026-06-09	10:44:12	4.31701e2	1.48533e1	1.24241e1	5.14971e1	9.74495e1	9.1786327e-2	8.3422298e-2	1.2016845e1	7.4865937e-1	
2026-06-09	10:44:13	4.31811e2	1.48590e1	1.24281e1	5.14971e1	9.74380e1	9.1791868e-2	8.3435649e-2	1.2051255e1	7.5523591e-1	
2026-06-09	10:44:13	4.31753e2	1.48599e1	1.24295e1	5.14971e1	9.74407e1	9.1785793e-2	8.3441371e-2	1.2063844e1	7.5902462e-1	
2026-06-09	10:44:14	4.31714e2	1.48654e1	1.24348e1	5.14971e1	9.74392e1	9.1778459e-2	8.3461761e-2	1.2002578e1	7.5229573e-1	
