sample number,maximum co2 (umol_mol-1),Instantaneous H2O,CO2 curve area,Average H2O
1,654.52,15.6585,13390.62379,14.77835855
2,491.48,15.8714,87.55002439,15.00398571
3,486.649,15.984,89.70948884,14.971
4,479.041,15.8083,275.3896891,14.85969186
5,614.333,15.8499,448.891932,14.96499615
6,654.52,15.6585,642.5387053,14.90062903
7,537.419,15.9978,226.9585437,14.93068276
8,516.897,15.8702,216.5103426,14.88235143
9,482.907,15.6569,140.7179688,14.87156452
10,501.45,15.9412,170.2127514,14.84313056
11,553.305,15.8349,1679.350614,14.75807634
12,525.951,16.0423,196.6874835,14.93144
13,493.593,15.8126,134.3355818,14.80359231
14,514.431,15.8707,186.5237327,14.83660571
15,553.305,15.8349,357.9340407,14.84150571
16,495.668,15.8485,108.4659494,14.88728636
17,485.583,15.9288,119.3157769,14.83782667
18,482.923,15.761,131.0229541,14.78592813
19,496.446,15.9042,135.5930884,14.82123462
20,530.296,15.9489,227.1742925,14.8275
21,503.617,15.9605,150.5310242,14.83212308
22,486.041,15.9462,150.9922005,14.7738303
23,498.934,15.7568,150.1614433,14.79856
24,502.227,15.8594,171.8397213,14.78460345
25,595.753,15.9304,401.2954299,14.77775714
